Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Матяш,Трохим,Федорович,male,1969-01-24,Дизайнер,село Шахтарськ,"вулиця Іподромний, буд. 2 кв. 411, Жашків, 28873",063 562 09 44,symonenkoiarema@example.com
Семенченко,Олекса,Назарович,male,1961-09-18,Дизайнер,селище Радехів,"узвіз Маршрутна, буд. 242 кв. 42, Олешки, 88131",786-04-13,demydiemelianenko@example.org
Величко,Ярина,Павлівна,female,1995-04-24,Офіс-менеджер,селище Одеса,"набережна Слобідський узвіз, буд. 47 кв. 3, Дніпро , 31159",345 51 68,natroshchenko@example.org
Тимченко,Анастасія,Зеновіївна,female,1957-02-28,Менеджер з закупівель,село Буськ,"провулок Молодіжна, буд. 2, Ананьїв, 74486",009 315 65 10,iakivkozak@example.org
Хоменко,Роксолана,Тимофіївна,female,2000-03-18,Програміст,село Таврійськ,"площа Студентський 4-й, буд. 51, Інкерман, 22473",+380 (91) 353-83-06,kvernyhora@example.org
Кабалюк,Галина,Володимирівна,female,1965-05-07,HR-менеджер,хутір Славута,"вулиця Іванова 2-й, буд. 018, Білопілля, 37605",538 65 99,liudmyla45@example.com
Гузь,Вадим,Олегович,male,1973-02-22,HR-менеджер,село Скадовськ,"шосе Аграрна, буд. 0 кв. 345, Миколаїв, 34888",047 963-08-58,zsheremeta@example.org
Мазепа,Розалія,Вікторівна,female,2006-09-11,Копірайтер,місто Балаклія,"вулиця Промисловий, буд. 4 кв. 670, Вознесенівка, 22313",+380 (94) 186-38-24,sarsenych@example.org
Козак,Лесь,Павлович,male,1941-02-24,Дизайнер,селище Христинівка,"узвіз Соляний 3-й, буд. 6 кв. 540, Південне , 84962",+380 78 324-41-86,viacheslav75@example.net
Арсенич,Клавдія,Олегівна,female,1962-02-07,Офіс-менеджер,село Лиман ,"площа Джерельна, буд. 095 кв. 329, Перещепине, 97025",098 289-09-29,daryna95@example.org
Якименко,Степан,Борисович,male,1965-09-22,Тестувальник,село Василівка ,"парк Перлинна, буд. 5, Турка, 99045",+380 21 960-66-72,dubasmaryna@example.net
Рева,Єлисавета,Федорівна,female,1981-05-05,Бухгалтер,місто Дергачі,"сквер Перепечка, буд. 7 кв. 629, Армянськ, 28663",753 60 72,orysia43@example.net
Башполченко,Вадим,Олегович,male,2000-04-11,Кадровий менеджер,місто Жмеринка,"провулок Лучиста, буд. 16 кв. 554, Молодогвардійськ, 13860",084 837-14-38,symon15@example.org
Ватаманюк,Устим,Іванович,male,1975-04-08,Офіс-менеджер,село Гнівань,"набережна Вертелецького, буд. 26 кв. 43, Миколаївка , 27933",451 16 55,olehholyk@example.com
Забашта,Єлисавета,Євгенівна,female,1955-05-10,Кадровий менеджер,місто Зміїв,"провулок Патріотична, буд. 2 кв. 74, Старий Самбір, 40884",+380 (38) 915-67-30,stanislavlaba@example.com
Палій,Ігор,Кирилович,male,1987-11-15,PR-менеджер,місто Енергодар,"узвіз Чумацька, буд. 503 кв. 0, Нова Одеса, 93130",+380 84 110-31-36,orkhypgoliash@example.net
Ребрик,Лесь,Геннадійович,male,1939-06-16,Фінансовий аналітик,місто Олександрівськ,"проспект Промислова, буд. 8 кв. 3, Керч, 88717",071-32-33,kamilla20@example.com
Дацюк,Данило,Володимирович,male,1981-01-05,Аудитор,хутір Калуш,"вулиця Манежний, буд. 86 кв. 55, Гірник , 06527",+380 51 527 65 56,ostapshvedchenko@example.net
Рябець,Тетяна,Марківна,female,1992-07-13,Копірайтер,село Каховка,"площа Асєєва Юрія, буд. 91 кв. 29, Вознесенськ, 36376",+380 82 606 87 96,amvrosiibaidak@example.org
Устенко,Віктор,Денисович,male,1965-04-28,Тестувальник,село Ірміно,"провулок Керченський 1-й, буд. 554 кв. 7, Федорівка, 01023",821-13-97,serhiivyshniak@example.com
Фастенко,Ірена,Денисівна,female,1984-12-11,Аудитор,хутір Добромиль,"вулиця Скрипковий, буд. 1 кв. 321, Іллінці, 76113",+380 69 604-49-88,anastasiia82@example.org
Козаченко,Святослав,Зеновійович,male,1985-11-05,Системний адміністратор,село Новодністровськ,"сквер Магнітогорська, буд. 5, Новий Калинів, 65257",+380 43 198-76-69,shchyrytsiaieva@example.org
Базилевський,Вʼячеслав,Тимофійович,male,1970-12-24,Менеджер з маркетингу,село Кодима,"парк Виставочна, буд. 870, Ладижин, 48244",339 87 44,liliiadashenko@example.com
Гоголь,Миколай,Федорович,male,1988-12-07,Офіс-менеджер,місто Монастириська,"набережна Донецька, буд. 4 кв. 31, Торецьк, 88574",247 93 39,maryna42@example.com
Носаченко,Михайло,Марківич,male,1943-06-07,Фінансовий аналітик,хутір Кам'янка-Дніпровська,"провулок Строганов міст, буд. 5 кв. 5, Бурштин , 95201",031 318 23 12,adaviter@example.com
Корпанюк,Пріска,Романівна,female,1970-05-24,Кадровий менеджер,селище Добропілля,"провулок Профспілкова, буд. 71, Василівка , 89972",+380 94 305-10-99,satsiukmykhailyna@example.net
Ванченко,Аркадій,Тарасович,male,1948-03-17,PR-менеджер,хутір Чернігів,"набережна Морехідна, буд. 3, Генічеськ, 81035",+380 00 935-77-26,tzabarnyi@example.net
Ковалюк,Яків,Олексійович,male,1946-03-12,Дизайнер,місто Дунаївці,"площа Творча, буд. 229, Попасна, 71469",+380 96 678-75-40,violettaabramchuk@example.net
Чалий,Марина,Михайлівна,female,1953-01-29,Фінансовий аналітик,село Гуляйполе,"узвіз Друга, буд. 08, Хмельницький, 54765",+380 55 261 71 42,davyd17@example.org
Сацюк,Леонтій,Олексійович,male,1987-08-22,Інженер з якості,хутір Родинське,"площа Депутатський, буд. 64, Люботин, 18035",090 773-01-71,rozaliia86@example.net
Яременко,Орина,Сергіївна,female,1988-01-20,HR-менеджер,хутір Золоте,"парк Суперфосфатна, буд. 34 кв. 506, Миронівка, 95339",060-18-67,venedyktbaranets@example.net
Гайдамака,Святослав,Марківич,male,1976-04-02,Офіс-менеджер,місто Авдіївка,"узвіз Бабеля, буд. 166, Пустомити, 29357",+380 82 950 93 27,fdemianenko@example.org
Піддубний,Мирослав,Сергійович,male,1938-03-05,Інженер з якості,селище Лозова ,"провулок Висока, буд. 80, Помічна, 32313",044 119-46-77,maksym62@example.com
Батуринець,Тимофій,Олегович,male,1974-05-03,Офіс-менеджер,хутір Вінниця,"парк Металістів, буд. 81 кв. 786, Кагарлик, 24202",+380 13 911-00-21,oshchors@example.net
Євдокименко,Артем,Олегович,male,2003-08-19,Системний адміністратор,хутір Судак ,"узвіз Дмитрія Донського, буд. 552, Довжанськ, 81875",066 353-29-64,vdanylchuk@example.com
Сірко,Богдан,Назарович,male,2001-03-02,Програміст,хутір Надвірна,"набережна Приморський, буд. 3 кв. 5, Гуляйполе, 10555",046 041-42-07,okhrim10@example.com
Василенко,Аніта,Олександрівна,female,1961-06-06,Асистент керівника,місто Хрестівка,"проспект Садова 4-та, буд. 4 кв. 337, Нетішин, 95829",+380 14 515-37-59,mykolai84@example.org
Яремчук,Аніта,Михайлівна,female,1959-02-27,PR-менеджер,селище Бердянськ,"шосе Петра Лещенка, буд. 05, Амвросіївка, 50021",860 77 16,shtokalomykhailyna@example.com
Зубко,Микита,Станіславович,male,1971-06-18,Менеджер з закупівель,селище Вільногірськ,"шосе Маковий, буд. 82 кв. 1, Новодністровськ, 30149",082 28 76,varvaraveres@example.com
Свистун,Семен,Борисович,male,1977-07-17,Офіс-менеджер,село Святогірськ,"шосе Восьмого березня 3-й, буд. 78 кв. 775, Кременець, 88146",+380 73 900-68-37,vadym21@example.net
Тесленко,Теодор,Андрійович,male,1990-08-27,Інженер з якості,селище Саки ,"площа Пересипська 7-ма, буд. 6, Голубівка, 71905",+380 (32) 966-73-06,dupliiiustyna@example.org
Архипенко,Володимира,Назарівна,female,1993-10-03,Менеджер з продукту,хутір Дніпрорудне,"сквер Західний 3-й, буд. 5, Кам'янка-Дніпровська, 03048",082 992 77 67,zolifirenko@example.net
Масоха,Еріка,Романівна,female,1970-10-21,Бухгалтер,село Лубни,"шосе Дунаєвського 2-й, буд. 9, Суми, 51742",+380 60 502-76-47,orest68@example.net
Гаврилів,Анжела,Геннадіївна,female,1947-01-24,Офіс-менеджер,хутір Знам'янка,"проспект Тетяни Тесс, буд. 2, Горішні Плавні, 57447",055 828 38 10,iaroslava41@example.net
Архипенко,Святослав,Романович,male,1944-12-30,Офіс-менеджер,село Кролевець,"площа Академічна, буд. 447, Попасна, 23701",091 962-49-83,viktoriia46@example.net
Аронець,Симон,Федорович,male,1992-01-19,Архітектор,селище Рахів,"площа Гастелло, буд. 094, Алмазна, 48205",874 51 70,shcherbanruslan@example.org
Асаула,Азар,Андрійович,male,1963-01-25,Менеджер з маркетингу,село Тальне,"шосе Висока, буд. 46, Володимир-Волинський, 06902",155 23 31,artemenkoruslan@example.com
Товстоліс,Миколай,Остапович,male,1974-11-01,Архітектор,селище Новий Калинів,"сквер Чорноморський 6-й, буд. 337 кв. 07, Костянтинівка, 23555",028-47-48,ievakhrystych@example.org
Аверченко,Азар,Олексійович,male,1984-03-15,Дизайнер,хутір Ковель,"провулок Творча, буд. 525 кв. 254, Новгород-Сіверський, 88400",+380 29 097 71 03,hshchyrytsia@example.net
Стельмах,Тетяна,Василівна,female,2007-12-14,Офіс-менеджер,хутір Миронівка,"набережна Рішельєвська, буд. 4 кв. 196, Турка, 67421",+380 24 570-19-55,balabanartem@example.org
Вдовиченко,Теодор,Романович,male,1976-03-23,Системний адміністратор,село Бахмут,"провулок Миколи Гумільова, буд. 357 кв. 2, Ужгород, 57190",+380 16 312-42-33,varvara95@example.net
Вітер,Олесь,Геннадійович,male,1996-03-10,Бухгалтер,селище Знам'янка,"вулиця Василя Симоненка, буд. 70, Дубровиця, 02256",004 779-32-86,zsuprunenko@example.net
Адамчук,Тарас,Ярославович,male,2000-07-07,Менеджер з продукту,село Луганськ,"проспект Балтський 3-й, буд. 4, Арциз, 56361",015 057 45 22,zlatoslavakybkalo@example.com
Романчук,Пантелеймон,Ігорович,male,1992-08-21,Аудитор,хутір Залізне,"площа Магнітогорський 3-й, буд. 72, Вовчанськ, 85837",400 52 69,adamenkoprokhir@example.net
Копитко,Нестор,Зеновійович,male,1973-11-17,Офіс-менеджер,хутір П'ятихатки,"сквер Нафтовиків, буд. 1 кв. 8, Монастирище, 05523",255 60 37,varfolomiizhuchenko@example.org
Оробець,Альберт,Зеновійович,male,1949-05-05,Системний адміністратор,селище Носівка,"провулок Чапаєва 2-й, буд. 05 кв. 3, Первомайськ, 63598",+380 (93) 703-67-70,voblyiavhustyn@example.org
Безбородько,Алевтин,Євгенович,male,1998-10-10,Асистент керівника,село Покровськ,"парк Десятого квітня, буд. 02, Кілія, 41146",043 470-30-33,sviatoslavabebeshko@example.com
Остапчук,Борислав,Андрійович,male,1971-12-22,Бухгалтер,місто Південне ,"проспект Іванова, буд. 0, Житомир, 11029",+380 08 853 89 71,liudmylatereshchuk@example.com
Бабій,Кирило,Зеновійович,male,2004-02-07,Фінансовий аналітик,хутір Долинська,"проспект Мельницька, буд. 43 кв. 91, Червоноград, 67094",027 451 72 12,petrovitruk@example.net
Овсієнко,Борис,Вікторович,male,1980-02-19,Менеджер з продажу,хутір Шепетівка,"набережна Пестеля, буд. 3, Березань , 72366",+380 67 803-38-64,dandanylenko@example.com
Шовкопляс,Вадим,Сергійович,male,1996-04-24,Менеджер з закупівель,село Болград,"набережна Об'їзна дорога, буд. 2, Костянтинівка, 81748",+380 17 083-07-57,davydpavlychenko@example.net
Щербак,Лариса,Григоріївна,female,1958-08-29,Менеджер з продажу,місто Біла Церква,"проспект Парашутний, буд. 204 кв. 99, Луганськ, 76730",053 955 45 62,onysym70@example.org
Габелко,Артем,Павлович,male,1948-07-29,Інженер з якості,хутір Ічня,"набережна Омська, буд. 73 кв. 01, Полонне, 28684",072 071 84 77,larysadrobiazko@example.net
Павлик,Валентина,Максимівна,female,1967-12-07,PR-менеджер,місто Дубляни,"вулиця Моторний 1-й, буд. 23, Первомайськ, 79904",232-01-89,fchupryna@example.net
Панчук,Омелян,Михайлович,male,1964-12-31,Копірайтер,селище Ірміно,"шосе Шкільний аеродром, буд. 14 кв. 9, Покровськ, 92490",008 472-79-77,boleslav27@example.com
Верменич,Богуслава,Андріївна,female,1939-03-24,Архітектор,село Дрогобич,"парк Краснослобідський, буд. 1, Вільнянськ, 03560",860 29 43,ievatelizhenko@example.com
Охримович,Онисим,Олексійович,male,2000-12-14,HR-менеджер,село Першотравенськ,"сквер Лінія 51-ша, буд. 518, Тернівка , 44599",072 593-37-30,priskademianchuk@example.org
Гайденко,Михайлина,Романівна,female,1956-03-11,HR-менеджер,місто Балта,"вулиця Леваневського, буд. 2 кв. 9, Харків, 10069",031 148 81 48,qierchenko@example.org
Тригуб,Соломія,Кирилівна,female,1965-01-17,Офіс-менеджер,село Нова Каховка,"узвіз Чорноморський 10-й, буд. 48 кв. 5, Миколаївка , 94923",620 22 35,lvovk@example.com
Чаленко,Емілія,Максимівна,female,1945-09-26,Аудитор,місто Довжанськ,"набережна Шота Руставелі, буд. 6 кв. 557, Пирятин, 59537",034-16-39,iustyna61@example.org
Їжак,Пантелеймон,Тимофійович,male,1993-02-09,PR-менеджер,хутір Ялта,"площа Іванова, буд. 3, Моршин, 36505",+380 43 214-83-90,iaremakhudiak@example.org
Стельмах,Марʼяна,Петрівна,female,1997-02-01,Фінансовий аналітик,селище Полонне,"площа Гетьманський, буд. 48 кв. 4, Володимир-Волинський, 79108",+380 97 494 15 19,qhupalo@example.com
Рябець,Мирослав,Сергійович,male,1939-09-28,Архітектор,село Корюківка,"узвіз Довженка, буд. 0, Бібрка, 27436",+380 32 056-26-53,oleh80@example.org
Ємець,Тереза,Давидівна,female,1954-06-05,Кадровий менеджер,село Світловодськ,"проспект Чорноморський 11-й, буд. 3, Генічеськ, 82918",+380 65 954-64-48,leon42@example.com
Ажажа,Наталія,Вікторівна,female,1995-12-25,Менеджер з закупівель,хутір Макіївка,"набережна Дорожня, буд. 2, Кілія, 49396",016 824 22 51,danna43@example.com
Рубець,Демʼян,Григорійович,male,1942-08-18,Менеджер з маркетингу,село Шахтарськ,"узвіз Університетський, буд. 335 кв. 609, Новодружеськ, 74801",+380 99 951-71-51,anita41@example.net
Ткаченко,Трохим,Мар'янович,male,1981-09-23,Тестувальник,місто Новомиргород,"парк Ткачова, буд. 62 кв. 9, Привілля, 89389",657 05 22,gzhytskyifedir@example.org
Фоменко,Ярослава,Захарівна,female,1953-11-16,Менеджер з маркетингу,село Горохів,"сквер Балтський 8-й, буд. 89, Гола Пристань, 53387",+380 64 683-86-14,bohodarandriiovych@example.org
Забашта,Галина,Назарівна,female,1944-06-10,Аналітик даних,селище Довжанськ,"провулок Іванова 1-й, буд. 160 кв. 22, Ровеньки, 13693",+380 60 317 73 50,hryhorii85@example.net
Штепа,Віолетта,Андріївна,female,1949-06-24,Дизайнер,місто Вовчанськ,"шосе Рожева, буд. 49 кв. 629, Шаргород, 64366",063 774 07 27,qvlasiuk@example.org
Власенко,Петро,Сергійович,male,1939-08-07,Фінансовий аналітик,село Ічня,"проспект Просьолочна, буд. 4 кв. 6, Борислав, 88825",068 236-83-41,datsenkoavhustyn@example.net
Лазаренко,Оксана,Борисівна,female,1988-04-23,Фінансовий аналітик,хутір Тараща,"площа Курортний, буд. 965 кв. 0, Бобринець, 75010",124 04 78,volodymyratovstukha@example.com
Зінкевич,Едита,Євгенівна,female,1985-03-17,Дизайнер,місто Жданівка,"шосе Новоселів, буд. 1 кв. 03, Винники, 09603",+380 98 145-81-68,romanetszynovii@example.com
Карась,Орися,Олександрівна,female,1969-06-21,Архітектор,селище Гнівань,"провулок Левадна, буд. 536 кв. 939, Бершадь, 07957",+380 (09) 782-63-79,lhaida@example.net
Їжак,Франц,Кирилович,male,1969-04-26,Менеджер з продукту,місто Судова Вишня,"провулок Грецька, буд. 9, Ржищів, 91088",816 78 58,ostap69@example.com
Батуринець,Георгій,Григорійович,male,1988-07-29,Менеджер з закупівель,село Жовква,"шосе Лиманчик 2-й Лінія 9-та, буд. 59, Запоріжжя, 77784",630-94-19,ievaartiushenko@example.org
Бабариченко,Лілія,Назарівна,female,1951-09-08,Бухгалтер,місто Батурин,"набережна 6-та Суворовська, буд. 2 кв. 46, Верхівцеве, 93906",+380 89 514-56-81,erikaumanets@example.net
Кальченко,Степан,Іванович,male,1957-05-10,Аналітик даних,село Фастів,"парк Крутоярська, буд. 5, Олевськ, 16861",+380 88 615 70 44,shchorsmyron@example.net
Яценко,Одарка,Михайлівна,female,1982-12-17,Інженер з якості,село Алчевськ,"парк Балківська, буд. 965 кв. 232, Сколе, 84331",073 042-55-76,iarynalytvynenko@example.net
Чуприна,Софія,Ярославівна,female,1968-05-31,Аудитор,місто Радомишль,"набережна Соляний 5-й, буд. 9, Чугуїв, 30855",794-56-83,pbhydenko@example.com
Дробаха,Єлисей,Володимирович,male,1995-04-07,Дизайнер,хутір Луцьк,"площа Кропивницького, буд. 3 кв. 120, Бахмут, 46513",043 939 87 59,bohuslava40@example.org
Атаманюк,Аркадій,Юрійович,male,1986-06-16,Менеджер з продукту,село Донецьк,"парк Степова, буд. 3 кв. 6, Інкерман, 84575",+380 (46) 570-74-38,kyrylo67@example.net
Гаврилюк,Азар,Максимович,male,1958-03-09,Фінансовий аналітик,село Пирятин,"парк Кристаловського, буд. 34, Донецьк, 95004",005 380 90 71,zynoviikomar@example.net
Полтавець,Роман,Володимирович,male,1941-06-19,Менеджер з продажу,селище Прип'ять ,"узвіз Леонтовича, буд. 194, Житомир, 80870",545 75 85,artiushenkovitalii@example.net
Кальченко,Одарка,Вікторівна,female,1966-01-28,Кадровий менеджер,село Прилуки,"площа Ніжинська, буд. 98 кв. 1, Винники, 56500",+380 (07) 207-44-12,kylymnyksviatoslava@example.net
Охріменко,Веніямин,Павлович,male,1954-11-23,Аудитор,хутір Ізяслав,"сквер Касима Юрія, буд. 923, Селидове, 33814",+380 17 248-52-35,ihavryshkevych@example.com
Кабалюк,Прохір,Романович,male,1967-06-09,HR-менеджер,хутір Нова Каховка,"набережна Кипарисний 3-й, буд. 0 кв. 02, Лутугине, 45103",+380 40 863 94 78,ubaranyk@example.org
Рубан,Одарка,Юріївна,female,1954-09-07,Програміст,місто Миколаїв,"узвіз Глиняна, буд. 92 кв. 520, Лубни, 97500",856 38 01,onysymatamaniuk@example.net
Журавель,Тетяна,Іванівна,female,1965-04-24,Фінансовий аналітик,селище Біляївка,"шосе Виноградна, буд. 47 кв. 7, Нова Одеса, 77519",001 125 26 64,taraslahoda@example.net
Засенко,Феофан,Данилович,male,2003-12-26,PR-менеджер,селище Знам'янка,"сквер Садова 3-тя, буд. 950, Авдіївка, 34279",+380 34 906-53-14,sbairak@example.org
Тарасенко,Франц,Євгенович,male,2006-03-30,Фінансовий аналітик,село Алмазна,"узвіз Вапняне селище, буд. 55, Червоноград, 10143",084 903-28-12,ovasylevych@example.org
Охріменко,Віктор,Васильович,male,1943-12-08,Менеджер з продукту,селище Валки ,"набережна Нахімова, буд. 2 кв. 568, Токмак, 93153",+380 58 608 62 89,okarmaliuk@example.net
Базавлученко,Віра,Мар'янівна,female,2004-04-12,Бухгалтер,село Путивль,"парк Чернишевського, буд. 660, Судова Вишня, 72850",018 995-51-40,makarmatviienko@example.com
Яковенко,Володимир,Мар'янович,male,1942-06-13,PR-менеджер,місто Єнакієве,"провулок Пушкінська, буд. 8 кв. 98, Ківерці, 43363",+380 29 632-29-52,khomavashchenko-zakharchenko@example.net
Царенко,Світлана,Романівна,female,1972-12-29,Менеджер з продукту,село Гадяч,"парк Карантинний узвіз, буд. 82 кв. 6, Павлоград, 77240",184 39 52,nataliiasachenko@example.org
Щербак,Мирон,Павлович,male,1948-07-16,Фінансовий аналітик,селище Єнакієве,"узвіз Міцкевича, буд. 247, Новодністровськ, 56725",026 642-31-45,kostiantynvenhrynovych@example.net
Непорожній,Віктор,Назарович,male,1994-12-30,Менеджер з закупівель,село Одеса,"набережна Хвойний, буд. 10 кв. 39, Баштанка, 48967",000 002 93 45,feofanbebeshko@example.com
Дробʼязко,Анжела,Тимофіївна,female,1983-11-22,Архітектор,село Калуш,"площа Совіньйонівський, буд. 721, Харцизьк, 62671",+380 (70) 393-85-86,eiurchenko@example.com
Іваничук,Ганна,Ярославівна,female,1987-04-04,Менеджер з маркетингу,хутір Могилів-Подільський,"провулок Шкіперська, буд. 917 кв. 5, Гайворон, 68656",958 12 84,klymenthutsuliak@example.org
Ляшко,Михайло,Євгенович,male,1987-05-20,Аудитор,місто Ковель,"площа Локомотивний 3-й, буд. 33, Олешки, 35755",084 930 99 29,snizhanahavriushenko@example.org
Хомик,Демʼян,Іванович,male,1951-08-20,Програміст,селище Українка ,"провулок Садиковська, буд. 20 кв. 38, Підгайці, 63914",339-40-73,averchenkoadam@example.net
Непорожній,Степан,Михайлович,male,1947-02-05,Кадровий менеджер,село Новий Калинів,"площа ім. К.Г. Паустовського, буд. 171 кв. 631, Амвросіївка, 41628",366 07 84,simashkevychboryslav@example.org
Перебийніс,Йосип,Максимович,male,1992-01-27,Аналітик даних,хутір Жмеринка,"провулок Літакова, буд. 6 кв. 9, Кіцмань, 46836",+380 (37) 995-93-65,akhudiak@example.org
Панчук,Еріка,Борисівна,female,1948-06-10,Фінансовий аналітик,місто Таврійськ,"площа Промислова, буд. 999 кв. 0, Мена , 82302",074 532-40-25,pelekhkyrylo@example.org
Ванченко,Ростислав,Кирилович,male,1938-10-25,Кадровий менеджер,місто Шепетівка,"узвіз Верещагіна, буд. 7 кв. 039, Борзна, 27519",882 15 04,mykhailynaandreiko@example.com
Луценко,Єфрем,Тарасович,male,1954-03-04,Аудитор,селище Добропілля,"вулиця Артилерійський 2-й, буд. 99, Рудки, 53601",224-70-12,ievapalii@example.net
Малишко,Юстим,Олександрович,male,1950-09-04,Дизайнер,село Нетішин,"провулок Інтернаціональний, буд. 5, Стрий, 57246",+380 (57) 437-53-51,rostyslav73@example.net
Байдак,Тетяна,Назарівна,female,1972-04-18,Дизайнер,місто Носівка,"вулиця Старобазарний, буд. 65, Хрустальний, 39290",020 744 05 38,stanislavriabovil@example.com
Чорновіл,Альбіна,Остапівна,female,1984-10-31,Системний адміністратор,місто Лутугине,"провулок Хутірська, буд. 1 кв. 27, Амвросіївка, 32361",+380 35 847 22 64,myroslavvermenych@example.com
Бандера,Борис,Максимович,male,1980-01-16,PR-менеджер,хутір Кременець,"вулиця Композитора Глинки, буд. 442 кв. 7, Заставна, 50326",023 636 32 93,jlesyk@example.org
Бабʼяк,Вʼячеслав,Юрійович,male,1957-05-26,Фінансовий аналітик,селище Ялта,"парк Троїцька, буд. 5 кв. 3, Харків, 58469",689 76 98,kkonoplenko@example.org
Дзиндра,Станіслав,Михайлович,male,1979-10-13,Аудитор,хутір Південне ,"провулок Лінія 25-та, буд. 62, Тараща, 81285",+380 30 066-80-82,sviatoslava14@example.com
Авдєєнко,Роксолана,Федорівна,female,1995-05-28,Бухгалтер,місто Барвінкове,"проспект Крушельницької, буд. 036, Почаїв, 52923",+380 24 678 82 23,viktoriia71@example.net
Фаренюк,Данило,Станіславович,male,1989-11-15,Дизайнер,місто Фастів,"набережна Байкальська, буд. 0 кв. 95, Мирноград, 23633",+380 75 517-84-30,nataliia98@example.com
Тригуб,Спас,Давидович,male,1961-07-19,Інженер з якості,хутір Першотравенськ,"узвіз Курортний, буд. 474, Жашків, 21201",+380 04 367 96 55,snizhanakorolenko@example.com
Овчаренко,Герман,Остапович,male,1988-08-16,HR-менеджер,село Полтава,"проспект Професора Каришковського, буд. 808, Обухів, 47612",+380 68 414-06-34,lilienko@example.com
Копитко,Юстина,Тарасівна,female,1995-10-20,PR-менеджер,хутір Вільногірськ,"вулиця Іспанська, буд. 399, Моршин, 32968",+380 85 801-51-28,solomonkarmaliuk@example.org
Конопленко,Тарас,Зеновійович,male,1953-11-29,HR-менеджер,хутір Новогродівка,"сквер Житомирський 3-й, буд. 4, Федорівка, 72289",023 361 13 81,ushutko@example.com
Лубенець,Григорій,Павлович,male,1948-01-12,Аналітик даних,село Миронівка,"вулиця Клинова, буд. 93 кв. 15, Тернопіль, 64747",+380 (58) 090-44-08,mykolaisheremet@example.org
Тесля,Ярослав,Зеновійович,male,1969-04-03,Менеджер з продажу,хутір Горохів,"проспект 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 72 кв. 772, Жовті Води, 83275",+380 23 460 67 78,okseniia71@example.org
Базилевський,Антон,Давидович,male,1958-12-07,PR-менеджер,хутір Вилкове,"парк Лесі Українки, буд. 1 кв. 8, Золочів, 68249",+380 (98) 380-20-30,markoderkach@example.org
Фурс,Зиновій,Романович,male,1953-10-20,Дизайнер,хутір Христинівка,"узвіз Велика Арнаутська, буд. 2 кв. 3, Вижниця, 85868",942-47-84,eholoborodko@example.net
Аронець,Одарка,Федорівна,female,1987-06-09,Аудитор,село Радехів,"вулиця Кримський, буд. 621, Першотравенськ, 66834",+380 52 140-40-33,ishmorhun@example.org
Журавель,Богуслав,Ярославович,male,1983-08-11,Бухгалтер,хутір Тернопіль,"узвіз Заводська 3-тя, буд. 4 кв. 16, Радивилів, 36430",+380 25 899-51-81,allalahoda@example.net
Литвин,Сергій,Тимофійович,male,1977-09-11,Тестувальник,село Волочиськ,"вулиця Володимира Хавкіна, буд. 611 кв. 0, Павлоград, 62441",+380 68 715-24-19,svitlanahavryliuk@example.net
Франко,Варвара,Вікторівна,female,1997-03-20,Менеджер з закупівель,селище Ірміно,"провулок Вчительська, буд. 2 кв. 1, Сіверськ, 17624",034 362-17-11,pavlykmykhailo@example.com
Москаль,Оксенія,Марківна,female,1962-04-20,HR-менеджер,хутір Прилуки,"узвіз Бехтерєва, буд. 291 кв. 912, Карлівка, 65185",+380 38 281-35-19,bbatiuk@example.com
Іваненко,Михайло,Володимирович,male,2003-04-24,Офіс-менеджер,хутір Глухів,"сквер Успенська, буд. 22 кв. 349, Умань, 84774",+380 (14) 907-54-26,iustymbabychenko@example.com
Дараган,Роман,Євгенович,male,1968-03-03,Офіс-менеджер,хутір Бунге ,"парк Лінія 32-га, буд. 4 кв. 181, Підгайці, 65840",168 27 45,snizhanabandurka@example.com
Дутка,Степан,Станіславович,male,1954-04-28,Менеджер з продажу,село Шепетівка,"узвіз Східний 1-й, буд. 72, Малин, 62971",089 063-19-53,oleh68@example.com
Заїка,Марія,Василівна,female,1948-07-03,Копірайтер,селище Радехів,"узвіз Шолохова, буд. 470 кв. 489, Родинське, 82084",+380 66 625-24-98,boleslavhohol-ianovskyi@example.com
Палій,Іван,Давидович,male,1938-01-07,Дизайнер,селище Рудки,"узвіз Чорноморський 4-й, буд. 25, Устилуг, 90057",+380 95 777 07 77,erikazabarnyi@example.org
Масляк,Павло,Михайлович,male,2004-06-11,Архітектор,місто Щастя ,"шосе Лодочний, буд. 475 кв. 7, Старокостянтинів, 75709",+380 90 953-91-97,ieva65@example.org
Зінченко,Христина,Олексіївна,female,1985-07-21,HR-менеджер,місто Новомосковськ,"сквер Павла Кравцова, буд. 08, Чернівці, 09319",077 590 46 78,ruslanhavriushenko@example.net
Сірченко,Лілія,Іванівна,female,1983-11-07,Аналітик даних,місто Чоп,"проспект Гімназична, буд. 67, Дебальцеве, 59212",079 329 66 99,nromanchuk@example.org
Ґоляш,Артем,Михайлович,male,1946-01-10,Менеджер з продажу,село Соледар,"узвіз Дальницьке, буд. 98, Славута, 60179",+380 43 678-98-66,tarasenkopanas@example.org
Дейсун,Ада,Борисівна,female,2006-10-11,Системний адміністратор,хутір Червоносів,"сквер Житомирський 4-й, буд. 3, Вижниця, 88713",+380 73 154-33-39,valentyn90@example.net
